Name,Prices
Eagle DR-B300ATX,INR 756.14
MSI Radeon RX 460 2GB OC DDR5 - Never used,"INR 7,938.00"
GIGABYTE X470 AORUS Ultra Gaming Am4 ATX AMD Motherboard,"INR 5,671.08"
AMD Radeon Vega Frontier Edition 16GB HBM2 Graphics Card,"INR 31,758.03"
ATI Radeon X800 XL 256MB PCI-E,"INR 2,267.67"
MSI GeForce GTX 960 GPU Graphics card - Workings perfectly!!,"INR 12,098.30"
Zalman CNPS9500A CPU Cooler,"INR 1,889.60"
Compaq PDP100,"INR 1,512.29"
Intel Xeon Socket LGA771 Heatsink Cooler Fan Copper E39287-002,"INR 1,886.58"
Gigabyte GC-Titan Ridge Thunderbolt 3 USB-C 3.1 flashed Apple Mac Pro BootScreen,"INR 12,542.91"
Nvidia Quadro Video Card Model 2000D ,"INR 29,489.60"
XFX ONE ATI HD 5450 Graphics/Video Card,"INR 1,133.46"
GENERAL ELECTRIC 22D63G3A COIL,"INR 15,122.87"
"HP HBA 4GB,PCI-X 2.0 CONTROLLER - AB429A","INR 27,900.95"
Mellanox MCX311A-XCAT CX311A ConnectX-3 EN 10G Ethernet 10GbE SFP+ PCI-E NIC,"INR 3,020.79"
ALLENAIR CORP A 2-1/2 X 2-1/2 PNEUMATIC  CYLINDER,"INR 4,914.93"
Matched Pair Lot 2 DELIDDED Intel XEON X5675 3.06GHz 6 Core Processor Mac Pro US,"INR 8,767.49"
HYNIX 16GB 4X4GB RAM MEMORY 2Rx8 PC3-10600U-9-11-B1 HMT35QU6CFR8C,"INR 3,326.28"
2 Corsair SP120 RGB Static Pressure 120 mm Case Fans and Hub CO-9050059-WW,INR 756.14
16GB MICRON RAM 4 X 4GB 1RX8 PC3L- 12800U 11-13-A1 MT8KTF51264AZ-1G6E1,"INR 3,395.09"
NEW ACOPIAN 32U40 UNREGULATED POWER SUPPLY,"INR 2,230.62"
"Lenovo W510 43192RU 15.6"" Workstation","INR 18,903.59"
AMD FX-8320 FX 8320 FD8320FRW8KHK 3.5GHz 8-Core AM3+ 8M Cach,"INR 6,425.71"
HP 544QSFP MCX354A-FCBT 649281-B21 656089-001 VPI FDR 40GbE Mellanox OEMFirmware,"INR 2,718.34"
HP CHROMEBOOK 11 G3 SYSTEMBOARD N2840 - 790939-001,"INR 6,880.15"
INTEL BX80614X5675,"INR 9,700.57"
HP ARMAND3 E1 1200 SYSTEM BOARD - 700576-001,"INR 6,275.24"
SEALED NEW DODGE 008033 5-1/4 PLY-DISC CPLG DISC,"INR 6,049.15"
Dynet Desktop 8GB (4GBx2) DDR3 1600 Mhz Ram - 1Rx8 PC3 - 12800U (1600Mhz),"INR 2,191.30"
Zotac GeForce 9500GT 1GB PCI-E Graphics Card- ZT-95TEK2M-FSL,"INR 1,511.53"
"Apple Mac Pro 3,1 (2008) 800MHZ PC2-6400F 8GB (2 X 4GB) RAM","INR 4,536.11"
Intel E5-2697 v2 2.7GHz 12 Core 30MB FCLGA2011 Processor SR19H  #7,"INR 13,988.66"
NEW ARO FLUID POWER 402-A LIMIT VALVE,"INR 5,368.62"
Genuine Dell XPS 9570 / Precision 5530 Palmrest Touchpad Assembly 4X63T 04X63T ,"INR 3,283.93"
Genuine Dell XPS 9570 / Precision 5530 Palmrest Touchpad Assembly 4X63T 04X63T ,"INR 3,283.93"
Mellanox ConnectX-3 MCX312 Dual Port 10 Gigabit Ethernet RMDA/RoCE,None
GENERAL ELECTRIC 3028176 COIL,"INR 4,914.93"
Genuine Dell XPS 9570 / Precision 5530 Palmrest Touchpad Assembly 4X63T BROKEN,"INR 2,654.06"
NEW H80-24R SPROCKET,"INR 4,158.79"
G. SKILL 8GB (2 x 4GB) PC3-12800 (DDR3-1600) Memory/RAM (F3-12800CL9D-8GBXL),"INR 1,889.60"
LOT COMPUTER and LAPTOP RAM MEMORY CARDS chips removed from my own PCs used,"INR 3,213.61"
INTEL DH67CF DESKTOP MINI-TX MOTHERBOARD- G10215-207,"INR 4,536.11"
Genuine Dell Inspiron 15 Gaming 7567 7566 Laptop Bottom Base Case Cover DYXTD B,"INR 3,283.93"
HP STORAGEWORKS D2600 & D2700 FAN ASSY - 519325-001,"INR 11,492.63"
ASUS TUF GAMING X570 PLUS WI-FI AMD AM4 ATX RYZEN MOTHERBOARD Ship Fast,"INR 21,550.09"
Micron 16Gb PC4-2400T-RC1-11 ECC Ram Module HP 809082-591 PC4-19200 (DDR4-2400),"INR 3,705.10"
Power Pac VMEP-200-6-A Power Supply,"INR 8,689.60"
HP BBWC 128MB CACHE ENABLER - 351580-B21,"INR 7,258.22"
